eta,Root0A,Root0B,Root0C
-0.25,0.194425521,0.1722970650,0.249576876
-0.50,0.298744423,0.2643208710,0.333258779
-0.75,0.242880308,0.2102116890,0.175417617
-1.00,0.264905708,0.150714201,0.12025527
-1.25,0.249743947,0.132201701,0.159251905
-1.50,0.229231881,0.154259860,0.188081049
-1.75,0.262711864,0.143232111,0.198227206
-2.00,0.243583105,0.149902762,0.157056587
