@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1 ,value_1 ,value_1 ,value_1
ID,,1 ,1 ,1 ,1
Type,Date,double,double,double,double
Format,yyyy-MM-dd HH:mm, , , ,
,2018-05-10 00:00,0.16468855052135117,0.1748906723617518,0.19040499379078835,0.21917416105927248
,2018-05-10 01:00,0.16468855052135117,0.17489067236175176,0.19040499379078835,0.21917416105927248
,2018-05-10 02:00,0.16468855052135117,0.17489067236175176,0.19040499379078835,0.21917416105927248
,2018-05-10 03:00,0.16468855052135117,0.17489067236175176,0.19040499379078835,0.21917416105927243
,2018-05-10 04:00,0.16468855052135117,0.17489067236175176,0.19040499379078835,0.2191741610592723
,2018-05-10 05:00,0.16467740735709893,0.17489067232341748,0.19040499379078835,0.21917416105927184
,2018-05-10 06:00,0.16457407915874273,0.17489067155980928,0.19040499379078835,0.21917416105927023
,2018-05-10 07:00,0.1645441409687528,0.17485955371357526,0.19037863913777933,0.21914592502966412
,2018-05-10 08:00,0.16449060522509817,0.17480375382451901,0.19033154676404077,0.21909650415383516
,2018-05-10 09:00,0.16440906307225805,0.17471825706349198,0.19025958937771212,0.21902197720528818
,2018-05-10 10:00,0.1642909991954128,0.17459102410697336,0.19015270342753904,0.21891200542100853
,2018-05-10 11:00,0.16417515548315934,0.1744443402316763,0.1900299463691091,0.21878765433948244
,2018-05-10 12:00,0.1641199971849186,0.1742922803001507,0.18990329091685093,0.21866141281685209
,2018-05-10 13:00,0.1642083935241421,0.17415999372892593,0.18979401997096734,0.21855532367796682
,2018-05-10 14:00,0.16447036704508167,0.17403435508454182,0.18969087629375878,0.21845594154124554
,2018-05-10 15:00,0.16489703016074303,0.17390098736898235,0.18958162053012823,0.21834961289377386
,2018-05-10 16:00,0.1654089371923102,0.17372586347546812,0.18943743717922035,0.21820558398596424
,2018-05-10 17:00,0.16603413163741268,0.17360490335745477,0.189339762613905,0.2181124215332987
,2018-05-10 18:00,0.166716823297415,0.17354168186211313,0.18929134111240553,0.218070854368626
,2018-05-10 19:00,0.16739686172526538,0.17351347537963854,0.18927265129753773,0.2180581674033299
,2018-05-10 20:00,0.16803792547057245,0.17350191060271752,0.18926798456371163,0.21805707201121485
,2018-05-10 21:00,0.16861699572520247,0.1734916668459016,0.18926430948379863,0.21805399505317224
