@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1 ,value_1 ,value_1 ,value_1
ID,,1 ,1 ,1 ,1
Type,Date,double,double,double,double
Format,yyyy-MM-dd HH:mm, , , ,
,2018-05-10 00:00,0.16468855052135117,0.1748906723617518,0.19040499379078835,0.21917416105927248
,2018-05-10 01:00,0.16468855052135117,0.17489067236175176,0.19040499379078835,0.21917416105927248
,2018-05-10 02:00,0.16468855052135117,0.17489067236175176,0.19040499379078835,0.21917416105927248
,2018-05-10 03:00,0.16468855052135117,0.17489067236175176,0.19040499379078835,0.21917416105927248
,2018-05-10 04:00,0.16468855052135117,0.17489067236175176,0.19040499379078835,0.21917416105927248
,2018-05-10 05:00,0.16467740735709893,0.17489067232341748,0.19040499379078835,0.21917416105927248
,2018-05-10 06:00,0.16457407915874273,0.17489067155980925,0.19040499379078835,0.21917416105927248
,2018-05-10 07:00,0.16454414096875275,0.17485955371357526,0.19037863913777933,0.21914592502967056
,2018-05-10 08:00,0.16449060522509815,0.17480375382451896,0.1903315467640408,0.21909650415385146
,2018-05-10 09:00,0.16440906307225808,0.17471825706349192,0.19025958937771212,0.2190219772053259
,2018-05-10 10:00,0.16429099919541276,0.17459102410697327,0.19015270342753898,0.21891200542108946
,2018-05-10 11:00,0.16417515548315925,0.17444434023167618,0.19002994636910892,0.21878765433964514
,2018-05-10 12:00,0.16411999718491835,0.17429228030015043,0.18990329091685065,0.21866141281716184
,2018-05-10 13:00,0.1642083935241416,0.17415999372892546,0.18979401997096695,0.21855532367852948
,2018-05-10 14:00,0.1644703670450807,0.17403435508454096,0.18969087629375808,0.2184559415422263
,2018-05-10 15:00,0.16489703016074136,0.17390098736898094,0.18958162053012717,0.21834961289542276
,2018-05-10 16:00,0.1654089371923072,0.17372586347546537,0.18943743717921835,0.2182055839886484
,2018-05-10 17:00,0.1660341316374082,0.1736049033574506,0.18933976261390228,0.21811242153754218
,2018-05-10 18:00,0.1667168232974093,0.17354168186210778,0.1892913411124026,0.21807085437516266
,2018-05-10 19:00,0.16739686172525897,0.17351347537963246,0.1892726512975354,0.21805816741316553
,2018-05-10 20:00,0.16803792547056556,0.17350191060271108,0.18926798456371102,0.2180570720256988
,2018-05-10 21:00,0.16861699572519503,0.17349166684589473,0.1892643094838009,0.21805399507408174
