@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1 ,value_1 ,value_1 ,value_1 ,value_1 ,value_1 ,value_1
ID,,1 ,1 ,1 ,1 ,1 ,1 ,1
Type,Date,double,double,double,double,double,double,double
Format,yyyy-MM-dd HH:mm, , , , , , ,
,0,2018-05-10 00:00,0.16404994522914584,0.16447125492589648,0.1648991596264818,0.16533384230388054,0.16468855052135117,-1.4389261865692653
,1,2018-05-10 01:00,0.16404994522914584,0.16447125492589648,0.1648991596264818,0.16533384230388054,0.16468855052135117,-1.4389261865692653
,2,2018-05-10 02:00,0.16404994522914584,0.16447125492589648,0.1648991596264818,0.16533384230388054,0.16468855052135117,-1.4389261865692653
,3,2018-05-10 03:00,0.16404994522914584,0.16447125492589648,0.1648991596264818,0.16533384230388054,0.16468855052135117,-1.4389261865692653
,4,2018-05-10 04:00,0.1640499452291459,0.16447125492589648,0.16489915962648177,0.16533384230388054,0.16468855052135117,-1.4389261865692653
,5,2018-05-10 05:00,0.16403888625114055,0.16446014039778134,0.16488798868838817,0.1653226140910857,0.16467740735709893,-1.439314884514663
,6,2018-05-10 06:00,0.16393633838780758,0.16435707755633086,0.1647844029683185,0.1652184977225139,0.16457407915874273,-1.4429191981093976
,7,2018-05-10 07:00,0.16390843838883976,0.16432781773149316,0.16475378431333298,0.1651865234413451,0.16454414096875275,-1.4439635076676718
,8,2018-05-10 08:00,0.16385859357815308,0.16427548542979517,0.1646990116823407,0.1651293302101037,0.16449060522509815,-1.4458309515187038
,9,2018-05-10 09:00,0.16378336192026116,0.16419569516690835,0.16461530697299118,0.16504188822887164,0.16440906307225808,-1.4486753201876725
,10,2018-05-10 10:00,0.16368089391103,0.16407950171328195,0.16449151399575423,0.1649120871615849,0.16429099919541276,-1.4527936464832079
,11,2018-05-10 11:00,0.16362085491476744,0.16396201678696198,0.16435365024494408,0.16476409998596347,0.16417515548315925,-1.45683452858105
,12,2018-05-10 12:00,0.16373572809929104,0.16389814776315956,0.16422932162088313,0.16461679125633968,0.16411999718491835,-1.4587585706854789
,13,2018-05-10 13:00,0.16418168879361794,0.16397577407967212,0.16416994834965615,0.16450616287362016,0.1642083935241416,-1.455675113001558
,14,2018-05-10 14:00,0.1649994864768553,0.16424936733252923,0.16419780784134252,0.16443480652959575,0.1644703670450807,-1.4465369035098352
,15,2018-05-10 15:00,0.1661087620892694,0.1647385435178314,0.1643335971418637,0.16440721789400095,0.16489703016074136,-1.4316539606867522
,16,2018-05-10 16:00,0.16729207347395006,0.16537756619441563,0.16456183377265055,0.1644042753282126,0.1654089371923072,-1.4137975236011808
,17,2018-05-10 17:00,0.16844878505635036,0.16617472848864603,0.16496938276467138,0.16454363023996502,0.1660341316374082,-1.391989373709106
,18,2018-05-10 18:00,0.16948361305279686,0.1670359130580059,0.16552177303863475,0.1648259940401997,0.1667168232974093,-1.3681755951830226
,19,2018-05-10 19:00,0.17035833150667923,0.1678708641338609,0.1661479683577468,0.16521028290274892,0.16739686172525897,-1.3444543671984708
,20,2018-05-10 20:00,0.17107677321900555,0.1686303976047085,0.16678857061422953,0.1656559604443186,0.16803792547056556,-1.3220926614002655
,21,2018-05-10 21:00,0.17165366938272153,0.16929179690701138,0.16739928766209422,0.166123228948953,0.16861699572519503,-1.3018934241710205
,22,2018-05-10 22:00,0.17209879062689756,0.16984148622610618,0.16794495720788308,0.16657198640410847,0.1691143051162488,-1.2845461847196449
,23,2018-05-10 23:00,0.17245328843374064,0.17030836793792392,0.16843884766428927,0.16700816371293808,0.16955216693722297,-1.2692726065574484
,24,2018-05-11 00:00,0.17271826619414457,0.17068570250313642,0.16886179229703224,0.16740296893540169,0.1699171824824287,-1.2565400658492565
,25,2018-05-11 01:00,0.1729285234372251,0.17100526648591288,0.16923844002618585,0.16777410253737277,0.17023658312167414,-1.2453986728460549
,26,2018-05-11 02:00,0.173105705531661,0.1712872801524236,0.16958422763560263,0.1681311688443356,0.1705270955410057,-1.235264964148006
,27,2018-05-11 03:00,0.17324696891770716,0.17152765923180757,0.16989123162501643,0.16846096820519532,0.17078170699493161,-1.226383559658626
,28,2018-05-11 04:00,0.17335744005811776,0.17173121518002482,0.1701619949592404,0.1687623794846973,0.17100325742052008,-1.2186553961604594
,29,2018-05-11 05:00,0.17342624377151417,0.17188723034543482,0.17038447696807613,0.1690207739507878,0.17117968125895322,-1.2125013467391415
,30,2018-05-11 06:00,0.17337730217477315,0.1719214569196739,0.17048513862787823,0.16916217501687125,0.17123651818479912,-1.2105187504317607
,31,2018-05-11 07:00,0.1733788736743867,0.17199657911471578,0.17062037477024772,0.16933619997180988,0.17133300688279002,-1.2071530135715483
,32,2018-05-11 08:00,0.17330467054769932,0.17198800651025778,0.170666494031826,0.16941904082904827,0.17134455297970783,-1.2067502604533384
,33,2018-05-11 09:00,0.1731506135537817,0.17189155641698214,0.17061870637722495,0.1694047303269065,0.17126640166872384,-1.2094763491407157
,34,2018-05-11 10:00,0.17293553904415412,0.1717271414543245,0.17049759828687844,0.16931405416339806,0.1711185832371888,-1.2146325793935404
,35,2018-05-11 11:00,0.17266016444972293,0.17149580142434195,0.1703042124099901,0.16914765841152782,0.1709019591738957,-1.222188900598158
,36,2018-05-11 12:00,0.17235625052168072,0.17123096143443362,0.1700733822876702,0.16894145717617598,0.1706505128549901,-1.2309598982541232
,37,2018-05-11 13:00,0.1720423278286094,0.17095231472719064,0.16982576366468327,0.16871679580118226,0.1703843005054164,-1.2402459673612907
,38,2018-05-11 14:00,0.17170620206786041,0.17064746080463017,0.16954859532728325,0.16846033022735857,0.17009064710678312,-1.2504892402884467
,39,2018-05-11 15:00,0.17137096982178376,0.17034080328785148,0.16926746316156766,0.1681986507477563,0.1697944717547398,-1.260820484467456
,40,2018-05-11 16:00,0.17105981690152203,0.17005684121714246,0.1690080838561823,0.16795854757310263,0.16952082238698735,-1.2703659730375805
,41,2018-05-11 17:00,0.17078864217063905,0.1698125903008864,0.16878851948662799,0.16775901340628313,0.16928719134110914,-1.278515534998469
,42,2018-05-11 18:00,0.17057389395089417,0.16962545848635435,0.16862708449048863,0.16761917749230976,0.1691114036050117,-1.2846473957788094
,43,2018-05-11 19:00,0.17040456459481457,0.16948414801667117,0.16851215338811515,0.16752701381648555,0.1689819699540216,-1.2891623246685162
,44,2018-05-11 20:00,0.1702976171249342,0.16940651028449671,0.16846243385987225,0.16750202672901976,0.16891714699958071,-1.2914234911231628
,45,2018-05-11 21:00,0.17024317302980144,0.16938244700709332,0.16846758771949932,0.16753359130707143,0.1689066997658664,-1.291787913489012
,46,2018-05-11 22:00,0.17019232667164008,0.1693609154184307,0.16847447590909365,0.1675664490155827,0.16889854175368677,-1.292072482799934
,47,2018-05-11 23:00,0.1701420533457056,0.16933671294656483,0.16847714324915974,0.16759424925258082,0.16888753969850273,-1.292456258552349
,48,2018-05-12 00:00,0.17016757347928751,0.16933605008070274,0.16848869963337107,0.1676268294316875,0.1689047881562622,-1.2918545946137565
,49,2018-05-12 01:00,0.17190591133033234,0.1697895796987111,0.16861575693448988,0.1676841577001694,0.1694988514159257,-1.2711323685709088
,50,2018-05-12 02:00,0.2330070104203179,0.18255288836660344,0.1717945752070249,0.168516716500287,0.1889677976235583,-0.5920129354668688
,51,2018-05-12 03:00,0.2765891620158407,0.2816199102427577,0.2703732434655897,0.18942639872826905,0.2545021786131143,1.693969633482004
,52,2018-05-12 04:00,0.2522104790544097,0.2527267972679833,0.2529427127910867,0.2523167900162979,0.2525491947824444,1.6258452852095782
,53,2018-05-12 05:00,0.24310981139080756,0.24234272491143288,0.2408611084527878,0.2384422308935651,0.24118896891214833,1.229575755739886
,54,2018-05-12 06:00,0.23767189497406016,0.23692750172807925,0.23556611346963025,0.23343240187531972,0.23589947801177236,1.0450667420848982
,55,2018-05-12 07:00,0.2339215909084562,0.23330195449953134,0.23216531426794323,0.2304050920238328,0.23244848792494088,0.9246886586271582
,56,2018-05-12 08:00,0.23091510049496733,0.23041267956578676,0.2294659148349978,0.22799674693208843,0.22969761045696008,0.8287320348494727
,57,2018-05-12 09:00,0.22829579845286713,0.22788720433675042,0.22708769574482163,0.22583716116238778,0.22727696492420674,0.7442946233728928
,58,2018-05-12 10:00,0.2259762310080637,0.22564202824383933,0.22495742730633717,0.22387435582006948,0.22511251059457743,0.6687937214935106
,59,2018-05-12 11:00,0.2238762454692932,0.2236004344962984,0.22300592228884947,0.222053153415316,0.22313393891743927,0.5997768131614614
,60,2018-05-12 12:00,0.22193867749471596,0.22170785115733443,0.2211839017830673,0.22033351734726475,0.22129098694559562,0.5354906168255881
,61,2018-05-12 13:00,0.22018499199824842,0.21999153605774485,0.2195257953336906,0.21875926391963085,0.2196153968273287,0.47704236805565436
,62,2018-05-12 14:00,0.21857889389937274,0.21841642115485582,0.21799909912478527,0.21730217504403976,0.2180741473057634,0.4232802131760573
,63,2018-05-12 15:00,0.21712841484628786,0.21699340098650605,0.21661839875092437,0.21598165293970312,0.21668046688085535,0.37466559120331266
,64,2018-05-12 16:00,0.21582488673977024,0.2157150998838654,0.215378195860554,0.21479486414541688,0.21542826165740164,0.33098593374201624
,65,2018-05-12 17:00,0.21466490348281875,0.21457950649413354,0.2142783053865916,0.2137440159962814,0.2143166828399563,0.2922116329502258
,66,2018-05-12 18:00,0.21364159918730752,0.2135717356403231,0.21329967728270405,0.21280826845011402,0.21333032014011216,0.2578051442574523
