@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1 ,value_1 ,value_1 ,value_1
ID,,1 ,1 ,1 ,1
Type,Date,double,double,double,double
Format,yyyy-MM-dd HH:mm, , , ,
,2018-05-10 00:00,-1.4368875765653228,-1.3106869762017723,-1.0053290937344757,-1.060841518811032
,2018-05-10 01:00,-1.4368875765653228,-1.3106869762017734,-1.0053290937344757,-1.060841518811032
,2018-05-10 02:00,-1.4368875765653228,-1.3106869762017734,-1.0053290937344757,-1.060841518811032
,2018-05-10 03:00,-1.4368875765653228,-1.3106869762017734,-1.0053290937344757,-1.0608415188110338
,2018-05-10 04:00,-1.4368875765653228,-1.3106869762017734,-1.0053290937344757,-1.060841518811038
,2018-05-10 05:00,-1.437275932395222,-1.3106869777278418,-1.0053290937344757,-1.0608415188110518
,2018-05-10 06:00,-1.4408770736255088,-1.3106870081266992,-1.0053290937344757,-1.0608415188111016
,2018-05-10 07:00,-1.4419204640266576,-1.3119257938906665,-1.006115822625831,-1.061714757583812
,2018-05-10 08:00,-1.443786264232562,-1.3141471593307414,-1.0075216059222367,-1.0632431674047809
,2018-05-10 09:00,-1.4466281294084806,-1.3175507422660477,-1.0096696499413256,-1.0655480176967964
,2018-05-10 10:00,-1.4507428309273178,-1.3226158220937898,-1.0128603679163406,-1.0689490491901317
,2018-05-10 11:00,-1.4547801564115703,-1.3284552331878288,-1.0165248640662843,-1.0727947805954259
,2018-05-10 12:00,-1.4567025050554752,-1.3345086623688553,-1.0203057335584806,-1.0766989765402746
,2018-05-10 13:00,-1.4536217613006408,-1.3397749240492063,-1.0235676475014552,-1.0799799317854135
,2018-05-10 14:00,-1.4444915948745634,-1.3447765351149816,-1.0266466525937579,-1.0830534635924858
,2018-05-10 15:00,-1.4296217513885283,-1.3500858366060104,-1.0299081133219965,-1.0863418259761977
,2018-05-10 16:00,-1.4117810307839231,-1.3570574304812562,-1.0342122188540586,-1.0907961217268742
,2018-05-10 17:00,-1.389992075503357,-1.361872791771875,-1.0371279621369573,-1.0936773010910834
,2018-05-10 18:00,-1.3661992568583232,-1.364389607615007,-1.0385734220403535,-1.0949628238919233
,2018-05-10 19:00,-1.3424989072957645,-1.3655124934560878,-1.0391313431530145,-1.0953551860674535
