@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp
ID,
Type,Date
Format,yyyy-MM-dd HH:mm
2018-05-10 00:00,-0.03430213301176632
2018-05-10 01:00,-0.03430213301176632
2018-05-10 02:00,-0.03430213301176632
2018-05-10 03:00,-0.034302133011766364
2018-05-10 04:00,-0.03430213301176649
2018-05-10 05:00,-0.03430213301176695
2018-05-10 06:00,-0.03430213301176854
2018-05-10 07:00,-0.03433036904137465
2018-05-10 08:00,-0.03437978991720361
2018-05-10 09:00,-0.03445431686575062
2018-05-10 10:00,-0.03456428865003025
2018-05-10 11:00,-0.034688639731556364
2018-05-10 12:00,-0.03481488125418672
2018-05-10 13:00,-0.03492097039307196
2018-05-10 14:00,-0.03502035252979328
2018-05-10 15:00,-0.035126681177264946
2018-05-10 16:00,-0.03527071008507457
2018-05-10 17:00,-0.03536387253774009
2018-05-10 18:00,-0.035405439702412805
2018-05-10 19:00,-0.03541812666770891
2018-05-10 20:00,-0.03541922205982395
2018-05-10 21:00,-0.03542229901786656
2018-05-10 22:00,-0.035443633521493836
2018-05-10 23:00,-0.03546448695634816
2018-05-11 00:00,-0.035500600832259976
2018-05-11 01:00,-0.035532275831607035
2018-05-11 02:00,-0.03555025692490611
2018-05-11 03:00,-0.035565978817630586
2018-05-11 04:00,-0.03558130883887832
2018-05-11 05:00,-0.0355994961641678
2018-05-11 06:00,-0.035615046735460426
2018-05-11 07:00,-0.0356729788768428
2018-05-11 08:00,-0.03578944369728751
2018-05-11 09:00,-0.035969672044419726
2018-05-11 10:00,-0.036195104700766076
2018-05-11 11:00,-0.03646562211156512
2018-05-11 12:00,-0.036752298886124066
2018-05-11 13:00,-0.037039186118031
2018-05-11 14:00,-0.03733977748503278
2018-05-11 15:00,-0.03763314337446279
2018-05-11 16:00,-0.03789879087725548
2018-05-11 17:00,-0.038121273338409103
2018-05-11 18:00,-0.038287474616529524
2018-05-11 19:00,-0.038410454510471134
2018-05-11 20:00,-0.03847616785134739
2018-05-11 21:00,-0.03849453312841415
2018-05-11 22:00,-0.03851295844129382
2018-05-11 23:00,-0.03853591186676267
2018-05-12 00:00,-0.03855529989615718
2018-05-12 01:00,-0.03857936491916536
2018-05-12 02:00,-0.038607554624706567
2018-05-12 03:00,-0.03863545316088758
2018-05-12 04:00,-0.038652959320938624
2018-05-12 05:00,-0.038674570423851834
2018-05-12 06:00,-0.038691361221748266
2018-05-12 07:00,-0.03874725109714579
2018-05-12 08:00,-0.038859565544103886
2018-05-12 09:00,-0.03909366615325381
2018-05-12 10:00,-0.039389860952835185
2018-05-12 11:00,-0.03973657125953234
2018-05-12 12:00,-0.040128387543586524
2018-05-12 13:00,-0.040506203782564476
2018-05-12 14:00,-0.04087609733297502
2018-05-12 15:00,-0.04120463717524592
2018-05-12 16:00,-0.04148482284641085
2018-05-12 17:00,-0.0417035196751972
2018-05-12 18:00,-0.041875160603306844
2018-05-12 19:00,-0.04198320751155561
2018-05-12 20:00,-0.04209528597933222
2018-05-12 21:00,-0.042099632093011596
2018-05-12 22:00,-0.042098684976809686
2018-05-12 23:00,-0.04209869203904135
2018-05-13 00:00,-0.04210277366611917
2018-05-13 01:00,-0.04210986618727505
2018-05-13 02:00,-0.04211915826153302
2018-05-13 03:00,-0.042130054371550346
2018-05-13 04:00,-0.04214212148941282
2018-05-13 05:00,-0.04215504341188561
2018-05-13 06:00,-0.04216924771125377
2018-05-13 07:00,-0.04224019917987645
2018-05-13 08:00,-0.042346937793328404
2018-05-13 09:00,-0.04247114187615579
2018-05-13 10:00,-0.042627972798173513
2018-05-13 11:00,-0.04280588166683663
2018-05-13 12:00,-0.04298621992440366
2018-05-13 13:00,-0.04319923738197699
2018-05-13 14:00,-0.04344528961143762
2018-05-13 15:00,-0.04368076317615266
2018-05-13 16:00,-0.04388573996069442
2018-05-13 17:00,-0.04403490981650694
2018-05-13 18:00,-0.04412693330068601
2018-05-13 19:00,-0.044151872525096586
2018-05-13 20:00,-0.04412704834731823
2018-05-13 21:00,-0.044079427904991905
2018-05-13 22:00,-0.04400777520496324
2018-05-13 23:00,-0.04390008181325912
2018-05-14 00:00,-0.04374327595292109
2018-05-14 01:00,-0.043534326658826575
2018-05-14 02:00,-0.043266445523285
2018-05-14 03:00,-0.04293301660222905
2018-05-14 04:00,-0.0425072888329522
2018-05-14 05:00,-0.04199864234678097
2018-05-14 06:00,-0.041417555234290915
2018-05-14 07:00,-0.04078775842704595
2018-05-14 08:00,-0.04012139447540343
2018-05-14 09:00,-0.039470958467878986
2018-05-14 10:00,-0.03886582969467556
2018-05-14 11:00,-0.038227819233167745
2018-05-14 12:00,-0.037608418595328943
2018-05-14 13:00,-0.03704827481390066
2018-05-14 14:00,-0.036505791174784655
2018-05-14 15:00,-0.03597359652634405
2018-05-14 16:00,-0.03544522537898223
2018-05-14 17:00,-0.034883306107597545
2018-05-14 18:00,-0.034270317998275845
2018-05-14 19:00,-0.03363012979058004
2018-05-14 20:00,-0.03295796404689706
2018-05-14 21:00,-0.03229023706151968
2018-05-14 22:00,-0.03163348107719072
2018-05-14 23:00,-0.030964657646436952
2018-05-15 00:00,-0.030313601762959844
2018-05-15 01:00,-0.02967474952043704
2018-05-15 02:00,-0.02905046767102165
2018-05-15 03:00,-0.02844246928440597
2018-05-15 04:00,-0.027850526069180634
2018-05-15 05:00,-0.027273200922207988
2018-05-15 06:00,-0.02670920436451149
2018-05-15 07:00,-0.026196227517543996
2018-05-15 08:00,-0.025734433061423312
2018-05-15 09:00,-0.025308596954681586
2018-05-15 10:00,-0.02492110089795914
2018-05-15 11:00,-0.024574738291487694
2018-05-15 12:00,-0.02428266747074767
2018-05-15 13:00,-0.023967474657180424
2018-05-15 14:00,-0.023658104629600718
