@T,table
Created,2019-11-28 18:35
Author,HortonMachine library
@H,timestamp,value_1 ,value_1 ,value_1 ,value_1
ID,,1 ,1 ,1 ,1
Type,Date,double,double,double,double
Format,yyyy-MM-dd HH:mm, , , ,
,2018-05-10 00:00,-1.4389261865692653,-1.3153988869623607,-1.0061322878254007,-1.0677684968902181
,2018-05-10 01:00,-1.4389261865692653,-1.3153988869623618,-1.0061322878254007,-1.0677684968902181
,2018-05-10 02:00,-1.4389261865692653,-1.3153988869623618,-1.0061322878254007,-1.0677684968902181
,2018-05-10 03:00,-1.4389261865692653,-1.3153988869623618,-1.0061322878254007,-1.0677684968902181
,2018-05-10 04:00,-1.4389261865692653,-1.3153988869623618,-1.0061322878254007,-1.0677684968902181
,2018-05-10 05:00,-1.439314884514663,-1.315398888488139,-1.0061322878254007,-1.0677684968902181
,2018-05-10 06:00,-1.4429191981093976,-1.315398918881195,-1.0061322878254007,-1.0677684968902181
,2018-05-10 07:00,-1.4439635076676718,-1.3166374681846782,-1.006912062035325,-1.0686416332946334
,2018-05-10 08:00,-1.4458309515187038,-1.3188584096086258,-1.0083054182109066,-1.0701698639426425
,2018-05-10 09:00,-1.4486753201876725,-1.3222613428651186,-1.0104344735262416,-1.0724744440406608
,2018-05-10 10:00,-1.4527936464832079,-1.327325455866105,-1.0135969855623417,-1.075875076836031
,2018-05-10 11:00,-1.45683452858105,-1.3331637523283757,-1.017229087575492,-1.07972035741082
,2018-05-10 12:00,-1.4587585706854789,-1.3392160260256847,-1.0209765341908388,-1.0836240956694556
,2018-05-10 13:00,-1.455675113001558,-1.3444812824775227,-1.0242096128227216,-1.0869046662864614
,2018-05-10 14:00,-1.4465369035098352,-1.349481938831528,-1.0272613995177204,-1.0899778377761582
,2018-05-10 15:00,-1.4316539606867522,-1.3547902268785827,-1.0304940289412918,-1.0932658146505723
,2018-05-10 16:00,-1.4137975236011808,-1.3617604900100972,-1.0347600861912465,-1.0977195882003872
,2018-05-10 17:00,-1.391989373709106,-1.3665749321405027,-1.0376500543108407,-1.1006004297610528
,2018-05-10 18:00,-1.3681755951830226,-1.3690912675717277,-1.0390827363523136,-1.1018858017915214
,2018-05-10 19:00,-1.3444543671984708,-1.3702139390754304,-1.0396357254437165,-1.1022781178691465
